t_sec,iter,decode_ts,prefill_ts,pred_n,sclk_mhz,mclk_mhz,edge_c,junction_c,mem_c,power_w,vram_mb,busy
47,474,0.00,0.00,0,1801,1000,56,60,56,27,14684,0
47,475,0.00,0.00,0,1801,1000,56,59,56,27,14684,0
47,476,0.00,0.00,0,1801,1000,56,60,56,27,14684,0
47,477,0.00,0.00,0,1801,1000,56,59,56,27,14684,0
47,478,0.00,0.00,0,1801,1000,56,60,56,27,14684,0
47,479,0.00,0.00,0,1801,1000,58,82,59,234,14687,99
47,480,0.00,0.00,0,1801,1000,59,71,58,27,14687,0
53,481,25.56,43.24,128,1801,1000,65,78,64,28,14695,0
59,482,26.16,58.56,128,1801,1000,68,85,68,28,14702,0
64,483,26.05,58.44,128,1801,1000,70,88,70,28,14702,0
70,484,25.93,58.25,128,1801,1000,71,89,71,28,14702,0
75,485,26.11,58.24,128,1801,1000,72,91,72,28,14702,0
81,486,25.88,56.13,128,1801,1000,73,91,73,28,14702,0
86,487,25.94,56.38,128,1801,1000,74,91,73,28,14702,0
92,488,25.66,58.19,128,1801,1000,74,91,74,28,14702,0
98,489,25.59,56.61,128,1801,1000,75,92,74,28,14702,0
103,490,25.67,55.95,128,1801,1000,75,91,74,28,14702,0
109,491,25.81,57.40,128,1801,1000,74,92,74,28,14702,0
114,492,25.50,58.17,128,1801,1000,75,92,74,28,14702,0
120,493,25.41,58.40,128,1801,1000,75,92,75,28,14702,0
126,494,25.39,58.20,128,1801,1000,75,92,75,28,14702,0
131,495,25.34,56.07,128,1801,1000,76,93,75,28,14702,0
137,496,25.42,54.19,128,1801,1000,76,92,76,28,14702,0
143,497,25.26,57.21,128,1801,1000,76,93,76,28,14702,0
148,498,25.27,58.21,128,1801,1000,76,94,76,28,14702,0
154,499,25.23,58.33,128,1801,1000,76,93,76,28,14702,0
160,500,25.26,58.17,128,1801,1000,76,93,75,28,14702,0
165,501,25.19,57.12,128,1801,1000,76,93,76,28,14702,0
